Question ID,Question,A,B,C,D,Correct Answer,Difficulty Level,tags
Q21,Which of the following best describes inheritance?, Ability of a class to derive members of another class as a part of its own definition, Means of bundling instance variables and methods in order to restrict access to certain class members, Focuses on variables and passing of variables to functions, Allows for implementation of elegant software that is well designed and easily modified,A,Beginner,OOPs Concept
Q22,What is the biggest reason for the use of polymorphism?, It allows the programmer to think at a more abstract level, There is less program code to write, The program will have a more elegant design and will be easier to maintain and update, Program code takes up less space,C,Beginner,OOPs Concept
Q23,Which of the following will run without errors?, round(45.8)," round(6352.898,2,5)", round(),"round(7463.123,2,1)",A,Beginner,Data Types
Q24,What error occurs when you execute the following Python code snippet? apple = mango, SyntaxError, NameError, ValueError, TypeError,D,Beginner,Data Types
Q25,What does single-level inheritance mean?, A subclass derives from a class which in turn derives from another class, A single superclass inherits from multiple subclasses, A single subclass derives from a single superclass, Multiple base classes inherit a single derived class,C,Beginner,OOPs Concept
Q26,What is the correct syntax for a for loop that iterates over a list?, for i in list:, for i in range(len(list)):, for i in list[1:]:," for i in range(0, len(list)):",A,Intermediate,Control Statements
Q27,What is the difference between a list and a tuple?," A list is immutable, while a tuple is mutable"," A tuple is indexed, while a list is not"," A list is ordered, while a tuple is not"," A list is mutable, while a tuple is immutable",D,Intermediate,Data Types
Q28,Which of the following is used to open a file for writing?, r, w, a, x,B,Intermediate,File Handling
Q29,,,,,,,,
Q30,Which type of Programming does Python support?, object-oriented programming, structured programming, functional programming, all of the mentioned,D,Intermediate,Basic
Q31,Which of these is the definition for packages in Python?, A set of main modules, A folder of python modules, A number of files containing Python definitions and statements, A set of programs making use of Python modules,B,Intermediate,Packages
Q32,"What will be the output of the following Python function? len([""hello"",2, 4, 6])", Error,6,4,3,C,Intermediate,Functions
Q33,"What will be the output of the following Python code?  print(""abc. DEF"".capitalize())", Abc. def, abc. def, Abc. Def, ABC. DEF,A,Intermediate,Functions
Q34,Which of the following is a Python tuple?," {1, 2, 3}", {}," [1, 2, 3]"," (1, 2, 3)",D,Intermediate,"Tuples, Lists, Dictionaries, Sets"
Q35,What will be the output of the following Python expression? round(4.576),4,4.6,5,4.5,C,Intermediate,Functions
Q36,"What is output of print(math.pow(3, 2))?",9, None,9, None of the mentioned,C,Intermediate,Functions
Q37,"Suppose d = {�john�:40, �peter�:45}. To obtain the number of entries in dictionary which command do we use?", d.size(), len(, size(, d.len(),B,Intermediate,"Tuples, Lists, Dictionaries, Sets"
Q38,Which of the following is used to define a block of code in Python language?, Indentation, Key, Brackets, All of the mentioned,A,Intermediate,Indentation
Q39,Which of the following is the truncation division operator in Python?, |, //, /, %,B,Intermediate,Operators
Q40,"What will be the output of the following Python statement? >>>""a""+""bc""", a, bc, bca, abc,D,Intermediate,Operators
Q41,What arithmetic operators cannot be used with strings?, +, *, �, All of the mentioned,C,Intermediate,String
Q42,What is the output when we execute list(�hello�)?," [�h�, �e�, �l�, �l�, �o�]", [�hello�], [�llo�], [�olleh�],A,Intermediate,"Tuples, Lists, Dictionaries, Sets"
Q43,"Suppose list1 is [2445,133,12454,123], what is max(list1)?",2445,133,12454,123,C,Intermediate,"Tuples, Lists, Dictionaries, Sets"
Q44,Which of the following statements create a dictionary?, d = {}," d = {�john�:40, �peter�:45}"," d = {40:�john�, 45:�peter�}", All of the mentioned,D,Intermediate,"Tuples, Lists, Dictionaries, Sets"
Q45,Where is function defined?, Module, Class, Another function, All of the mentioned,D,Intermediate,Functions
Q46,"Python supports the creation of anonymous functions at runtime, using a construct called __________", lambda, pi, anonymous, none of the mentioned,A,Intermediate,Functions
Q47,What function do you use to read a string?, input(�Enter a string�), eval(input(�Enter a string�)), enter(�Enter a string�), eval(enter(�Enter a string�)),A,Intermediate,String
Q48,Which of the following isn�t true about dictionary keys?, More than one key isn�t allowed, Keys must be immutable, Keys must be integers," When duplicate keys encountered, the last assignment wins",C,Intermediate,"Tuples, Lists, Dictionaries, Sets"
Q49,"What type of data is: a=[(1,1),(2,4),(3,9)]?", Array of tuples, List of tuples, Tuples of lists, Invalid type,B,Intermediate,"Tuples, Lists, Dictionaries, Sets"
Q50,"What is the output of this expression, 3*1**3?",27,9,3,1,C,Intermediate,Operators
Q51,What is Python?, A programming language, A game engine, An operating system, A browser extension,A,Beginner,programming language
Q52,Which of the following is a correct syntax for assigning a value to a variable in Python?, variable = value, value = variable, variable == value, value == variable,A,Beginner,variable assignment
Q53,What is the output of the following code? x = 5 y = 2 print(x % y),2,3,2.5,0,D,Beginner,modulus operator
Q54,Which of the following is NOT a Python data type?, integer, float, string, loop,D,Beginner,python data types
Q55,What does the following code print? for i in range(5): print(i), 0 1 2 3 4, 1 2 3 4 5, 0 1 2 3 4 5,"None of the above
",A,Beginner,for loop
Q56,What is the correct way to declare a function in Python?, function my_function():, def my_function():, my_function():, func my_function():,B,Beginner,python functions
Q57,Which of the following is a correct way to read a file in Python?, read(file.txt), open(file.txt), with open(file.txt) as f:, read(file.txt 'r'),C,Beginner,python file handling
Q58,Which of the following is NOT a control flow statement in Python?, if, while, else, boolean,D,Beginner,control flow statements
Q59,"What is the output of the following code? a = [1, 2, 3]
b = a
b.append(4)
print(a)","[1,2,3]","[1,2,3,4]","[1,2,4]", None of the above,B,Beginner, Python lists
Q60,Which of the following is a correct way to check if a value exists in a list in Python?, if value in list:, if value == list:, if value not in list:, if value != list:,A,Beginner,python lists
